"ag_id","groupname","year","ag_irrelevant_flag","ag_monop_flag","ag_dominant_flag","ln_ag_area_sqkm","ag_pop","ln_ag_pop","ag_egip_share","ag_excl_share","ag_rlvt_share","ag_irrlvt_share","ag_up2jun_share","ag_excl_incr","ag_excl_decr","ag_onset_ko_flag","ag_onset_ko_terr_flag","ag_onset_ko_gov_flag","ag_incidence_flag","ag_incidence_terr_flag","ag_incidence_gov_flag","ag_incidence_flag_lag","ag_incidence_terr_flag_lag","ag_incidence_gov_flag_lag","ag_warhist","ag_peaceyears","ag_warhist_terr","ag_peaceyears_terr","ag_warhist_gov","ag_peaceyears_gov"
20002000,"Scots",2013,0,0,0,16.8307870868648,6011140,6.77895684284458,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67,0,67,0,67
20007000,"Protestants In N. Ireland",1989,0,0,0,15.7185329764871,570580,5.75631654467496,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,0,43
22003000,"Corsicans",1963,0,0,0,15.943275005413,195200,5.29047981333067,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,17
20007000,"Protestants In N. Ireland",1990,0,0,0,15.7185329764871,572140,5.75750231163913,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0,44
23002000,"Catalans",1975,0,0,0,16.6760576909411,6039820,6.78102399587749,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,29
23501000,"Portuguese",1975,0,1,0,16.9631822586434,9203340,6.96394546651165,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,29
20002000,"Scots",2014,0,0,0,16.8307870868648,6056600,6.78222889221554,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,0,68,0,68
22003000,"Corsicans",1964,0,0,0,15.943275005413,197430,5.29541314551966,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,18
20002000,"Scots",2015,0,0,0,16.8307870868648,6105820,6.7857439971197,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,69,0,69,0,69
20004000,"Afro-Caribbeans",1948,1,0,0,,1002780,6.00120566356275,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
20007000,"Protestants In N. Ireland",1991,0,0,0,15.7185329764871,573700,5.75868484988244,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,0,45,0,45
23002000,"Catalans",1976,0,0,0,16.6760576909411,6105040,6.78568851377187,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,30
22003000,"Corsicans",1965,0,0,0,15.943275005413,199210,5.29931113547228,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,19
23002000,"Catalans",1977,0,0,0,16.6760576909411,6168840,6.79020350617878,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,0,31
23501000,"Portuguese",1976,0,1,0,16.9631822586434,9333950,6.9700654701315,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,30
20002000,"Scots",2016,0,0,0,16.8307870868648,6105820,6.7857439971197,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70,0,70,0,70
20007000,"Protestants In N. Ireland",1992,0,0,0,15.7185329764871,575250,5.75985662734068,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46,0,46,0,46
22003000,"Corsicans",1966,0,0,0,15.943275005413,201020,5.303239268652,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,20
20007000,"Protestants In N. Ireland",1993,0,0,0,15.7185329764871,576820,5.76104031020488,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,47,0,47
23002000,"Catalans",1978,0,0,0,16.6760576909411,6229790,6.7944734072726,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,0,32
23501000,"Portuguese",1977,0,1,0,16.9631822586434,9463580,6.97605545776844,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,0,31
20002000,"Scots",2017,0,0,0,16.8307870868648,6105820,6.7857439971197,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71,0,71,0,71
22003000,"Corsicans",1967,0,0,0,15.943275005413,202610,5.30666087655063,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,21
20003000,"Asians",1946,1,0,0,,1403890,6.14733308053985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20004000,"Afro-Caribbeans",1949,1,0,0,,1002780,6.00120566356275,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
20007000,"Protestants In N. Ireland",1994,0,0,0,15.7185329764871,578390,5.76222077567243,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,0,48
20007000,"Protestants In N. Ireland",1995,0,0,0,15.7185329764871,579970,5.76340552947428,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,0,49
23002000,"Catalans",1979,0,0,0,16.6760576909411,6286160,6.79838543080704,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,33
23002000,"Catalans",1980,0,0,0,16.6760576909411,6336710,6.80186383206107,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34,0,34
23501000,"Portuguese",1978,0,1,0,16.9631822586434,9586170,6.98164512645081,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,0,32
22003000,"Corsicans",1968,0,0,0,15.943275005413,204140,5.30992811043492,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,22
23501000,"Portuguese",1979,0,1,0,16.9631822586434,9695180,6.98655587656904,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,33
20003000,"Asians",1947,1,0,0,,1403890,6.14733308053985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
20007000,"Protestants In N. Ireland",1996,0,0,0,15.7185329764871,581570,5.76460199556334,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,50
23002000,"Catalans",1981,0,0,0,16.6760576909411,6381020,6.80489010583161,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,35
22003000,"Corsicans",1969,0,0,0,15.943275005413,205890,5.31363525361033,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,23
23002000,"Catalans",1982,0,0,0,16.6760576909411,6419330,6.80748970213625,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,0,36
23501000,"Portuguese",1980,0,1,0,16.9631822586434,9785920,6.99060166107643,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34,0,34
20003000,"Asians",1948,1,0,0,,1403890,6.14733308053985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
20003000,"Asians",1949,1,0,0,,1403890,6.14733308053985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
20007000,"Protestants In N. Ireland",1997,0,0,0,15.7185329764871,583190,5.7658100684957,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,0,51
22003000,"Corsicans",1970,0,0,0,15.943275005413,207680,5.31739467512028,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,24
20007000,"Protestants In N. Ireland",1998,0,0,0,15.7185329764871,584880,5.76706677089633,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0,52,0,52
23002000,"Catalans",1983,0,0,0,16.6760576909411,6451940,6.80969032000178,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,37
